;Temperatura;Temperaturamax;Temperaturamin;Precipitacion(mm);Horasdesol(horas)
24.Abril;28;32;23;11.7mm;6.3
25.Abril;29;33;24;13.2mm;6
26.Abril;29;34;25;13.6mm;6.3
27.Abril;29;34;26;12.0mm;7.1
28.Abril;29;33;26;14.1mm;6.9
29.Abril;29;33;26;11.3mm;7
30.Abril;27;32;24;10.5mm;6.8
1.Mayo;28;32;24;11.7mm;6.7
2.Mayo;29;34;26;13.8mm;6.7
3.Mayo;30;34;26;14.6mm;6.8
4.Mayo;29;32;26;12.5mm;7
5.Mayo;30;35;25;12.1mm;6.7
6.Mayo;30;35;26;13.5mm;6.4
7.Mayo;29;35;26;12.5mm;6.5
8.Mayo;30;35;25;13.3mm;6.9
9.Mayo;30;34;26;11.9mm;7.2
10.Mayo;29;33;26;12.3mm;7.2
11.Mayo;30;34;26;9.1mm;7.4
12.Mayo;30;34;27;8.6mm;7.6
13.Mayo;30;34;26;9.7mm;7.4
14.Mayo;30;35;27;9.8mm;7.5
15.Mayo;29;34;26;8.2mm;7.4
16.Mayo;28;34;26;9.9mm;6.9
17.Mayo;28;33;25;13.8mm;6.8
18.Mayo;30;34;25;12.0mm;7.3
19.Mayo;30;35;27;12.7mm;6.7
20.Mayo;30;34;27;10.5mm;6.8
21.Mayo;29;32;26;10.3mm;6
22.Mayo;29;33;24;8.9mm;6.8
23.Mayo;30;33;26;11.2mm;6.9
24.Mayo;29;34;25;9.0mm;7.1
25.Mayo;29;31;27;10.3mm;7.5
26.Mayo;28;34;26;10.3mm;7
27.Mayo;29;33;25;10.5mm;6.9
28.Mayo;28;33;26;10.6mm;7.4
29.Mayo;28;34;25;13.6mm;7.3
30.Mayo;29;34;25;10.0mm;7.2
31.Mayo;29;34;26;10.0mm;7.1
1.Junio;28;33;26;10.2mm;7
2.Junio;29;34;24;9.1mm;6.9
3.Junio;30;36;26;8.6mm;7.7
4.Junio;28;34;25;6.9mm;7.7
5.Junio;28;33;23;8.9mm;7.2
6.Junio;29;35;26;8.5mm;7.4
7.Junio;30;32;25;8.9mm;7
8.Junio;27;34;22;6.7mm;7.6
9.Junio;28;32;24;7.7mm;8.1
10.Junio;28;34;24;7.0mm;8
11.Junio;28;33;23;6.9mm;8
12.Junio;29;35;26;7.1mm;8
13.Junio;29;34;25;7.1mm;8
14.Junio;29;34;25;7.7mm;7.9
15.Junio;29;33;25;7.9mm;7.8
16.Junio;29;34;26;7.1mm;8.3
17.Junio;27;31;26;5.8mm;8.5
18.Junio;29;33;24;6.7mm;8.4
19.Junio;30;35;26;6.0mm;8.7
20.Junio;30;34;26;7.2mm;8.3
21.Junio;31;36;26;6.8mm;8.2
22.Junio;30;35;27;6.1mm;8
23.Junio;29;33;26;5.8mm;8.5
24.Junio;29;33;25;6.8mm;8.6
25.Junio;29;33;26;6.8mm;8.7
26.Junio;27;34;25;6.1mm;8.9
27.Junio;29;33;25;7.1mm;8.6
28.Junio;30;34;26;6.8mm;8.9
29.Junio;30;35;26;6.5mm;9
30.Junio;30;35;27;6.0mm;8.7
1.??Julio;29;35;26;6.0mm;8.8
2.??Julio;27;33;24;5.1mm;8.7
3.??Julio;28;31;25;5.5mm;8.7
4.??Julio;29;34;25;6.2mm;8.7
5.??Julio;30;34;26;7.5mm;7.9
6.??Julio;28;32;26;7.5mm;8.2
7.??Julio;29;34;26;6.1mm;8.4
8.??Julio;28;32;16;4.8mm;8.9
9.??Julio;29;34;24;5.2mm;9
10.??Julio;30;33;26;5.7mm;8.9
11.??Julio;29;33;25;5.9mm;8.9
12.??Julio;28;31;24;4.7mm;8.6
13.??Julio;29;33;27;5.6mm;8.8
14.??Julio;30;34;26;5.5mm;8.8
15.??Julio;29;34;26;8.5mm;7.9
16.??Julio;27;31;26;7.3mm;8
17.??Julio;28;32;26;6.8mm;8.3
18.??Julio;28;31;26;5.1mm;8.8
19.??Julio;29;33;26;5.4mm;8.9
20.??Julio;30;34;27;6.0mm;8.8
21.??Julio;31;37;27;5.9mm;8.4
22.??Julio;29;32;26;5.3mm;8.3
23.??Julio;29;33;27;5.0mm;8.9
24.??Julio;30;34;27;4.4mm;9.5
25.??Julio;29;34;27;3.5mm;9.4
26.??Julio;28;30;26;4.7mm;9.1
27.??Julio;28;31;25;5.5mm;9.2
28.??Julio;29;35;26;5.4mm;9.3
29.??Julio;30;35;26;5.1mm;8.7
30.??Julio;29;34;27;6.2mm;8.7
31.??Julio;28;31;26;7.0mm;8.5
1.Agosto;29;32;24;4.7mm;8.9
2.Agosto;29;34;25;3.6mm;9.3
3.Agosto;30;34;26;5.3mm;8.7
4.Agosto;30;35;26;5.1mm;8.8
5.Agosto;30;35;27;5.6mm;9
6.Agosto;31;36;26;4.5mm;9
7.Agosto;29;33;26;4.7mm;9
8.Agosto;29;34;24;5.7mm;8.6
9.Agosto;28;34;25;5.4mm;8.8
10.Agosto;28;32;24;5.3mm;9.3
11.Agosto;29;35;26;5.4mm;9.4
12.Agosto;29;34;24;4.6mm;9.1
13.Agosto;30;34;26;4.7mm;8.9
14.Agosto;29;33;25;6.1mm;8.4
15.Agosto;29;33;25;6.6mm;8.6
16.Agosto;28;33;25;5.9mm;8.9
17.Agosto;29;33;26;7.1mm;8.3
18.Agosto;30;33;26;7.5mm;8.4
19.Agosto;30;33;26;7.0mm;8
20.Agosto;29;34;26;6.0mm;8.3
21.Agosto;28;32;26;5.1mm;8.5
22.Agosto;27;31;25;4.8mm;8.4
23.Agosto;28;34;24;5.6mm;8.4
24.Agosto;29;33;24;7.5mm;8.1
25.Agosto;29;34;26;7.3mm;7.5
26.Agosto;30;35;25;10.4mm;7.8
27.Agosto;29;34;25;8.7mm;7.9
28.Agosto;30;36;25;7.7mm;8.1
29.Agosto;30;36;26;5.3mm;8.5
30.Agosto;31;35;26;5.2mm;8.5
31.Agosto;31;35;27;5.5mm;8.8
1.Septiembre;30;36;26;5.4mm;8.7
2.Septiembre;29;34;25;7.4mm;8.3
3.Septiembre;28;32;24;7.0mm;8.2
4.Septiembre;28;34;25;7.2mm;7.9
5.Septiembre;31;35;26;8.4mm;7.9
6.Septiembre;31;34;26;7.5mm;7.7
7.Septiembre;30;34;26;8.1mm;7.9
8.Septiembre;29;35;25;7.9mm;7.6
9.Septiembre;30;36;26;7.4mm;7.5
10.Septiembre;27;31;24;8.6mm;7.6
11.Septiembre;29;34;25;8.1mm;7.7
12.Septiembre;30;34;26;8.3mm;7.5
13.Septiembre;30;34;27;7.8mm;7.4
14.Septiembre;31;36;27;8.1mm;7.7
15.Septiembre;29;35;25;8.0mm;7.9
16.Septiembre;29;33;24;8.6mm;7.7
17.Septiembre;30;35;26;8.2mm;7.5
18.Septiembre;29;34;26;10.2mm;6.9
19.Septiembre;28;33;24;9.5mm;7
20.Septiembre;30;35;26;9.3mm;7.1
21.Septiembre;30;35;26;7.4mm;7.3
22.Septiembre;30;36;26;9.0mm;7.6
23.Septiembre;30;35;27;10.8mm;6.9
24.Septiembre;30;34;27;8.1mm;7.1
25.Septiembre;30;35;26;8.5mm;7.4
26.Septiembre;30;34;27;11.3mm;6.7
27.Septiembre;30;35;25;9.6mm;7.3
28.Septiembre;30;35;26;10.8mm;7.5
29.Septiembre;30;36;25;9.5mm;7.2
30.Septiembre;30;35;26;8.9mm;6.7
1.Octubre;29;35;26;9.0mm;6.5
2.Octubre;30;35;25;7.9mm;7.4
3.Octubre;29;34;26;8.3mm;7
4.Octubre;27;30;23;10.9mm;6.7
5.Octubre;28;31;24;9.3mm;7.1
6.Octubre;28;33;25;10.2mm;6.6
7.Octubre;30;34;25;10.2mm;6.4
8.Octubre;27;34;24;11.5mm;6.6
9.Octubre;28;34;24;11.3mm;6.7
10.Octubre;30;34;26;10.3mm;6.4
11.Octubre;28;33;24;11.7mm;6.4
12.Octubre;29;33;26;8.6mm;6.7
13.Octubre;29;33;24;11.3mm;6.6
14.Octubre;28;33;24;9.5mm;6.1
15.Octubre;29;33;25;9.9mm;5.9
16.Octubre;27;29;25;9.0mm;5.8
17.Octubre;28;32;24;11.5mm;6
18.Octubre;30;34;26;10.1mm;6.1
19.Octubre;30;34;26;10.6mm;5.9
20.Octubre;29;33;25;11.5mm;6.1
21.Octubre;27;31;24;10.3mm;6.1
22.Octubre;28;34;22;10.5mm;6.3
23.Octubre;29;34;26;10.0mm;5.9
24.Octubre;29;34;26;10.4mm;5.8
25.Octubre;27;32;25;10.8mm;5.6
26.Octubre;27;32;23;10.3mm;5.8
27.Octubre;26;30;24;9.3mm;5.8
28.Octubre;26;30;23;11.9mm;5.6
29.Octubre;27;31;24;13.2mm;5.6
30.Octubre;28;32;24;12.7mm;5.8
31.Octubre;27;32;24;9.5mm;6.1
1.Noviembre;27;32;24;10.6mm;5.6
2.Noviembre;26;31;24;12.6mm;5.3
3.Noviembre;27;32;23;9.0mm;5.8
4.Noviembre;28;33;24;9.7mm;5.4
5.Noviembre;29;34;26;10.1mm;5.4
6.Noviembre;28;32;25;11.0mm;5.3
7.Noviembre;28;33;25;12.9mm;5.7
8.Noviembre;30;35;26;12.2mm;5.6
9.Noviembre;30;35;25;10.5mm;5.6
10.Noviembre;29;33;27;11.1mm;5.7
11.Noviembre;30;35;27;9.1mm;6.2
12.Noviembre;29;32;27;9.7mm;5.6
13.Noviembre;29;35;26;9.9mm;5.7
14.Noviembre;29;35;26;12.2mm;5.5
15.Noviembre;27;32;25;12.7mm;5.5
16.Noviembre;28;33;25;10.1mm;5.7
17.Noviembre;28;33;25;9.8mm;5.8
18.Noviembre;27;31;25;10.0mm;4.9
19.Noviembre;26;28;23;10.5mm;5.1
20.Noviembre;28;32;24;10.6mm;5.2
21.Noviembre;28;33;24;9.3mm;5.5
22.Noviembre;28;32;25;8.1mm;5.6
23.Noviembre;29;34;24;11.2mm;6.1
24.Noviembre;29;33;25;9.6mm;5.7
25.Noviembre;29;34;25;8.9mm;5.4
26.Noviembre;28;32;26;7.5mm;6.1
27.Noviembre;29;34;26;10.0mm;5.8
28.Noviembre;29;34;24;10.4mm;6.2
29.Noviembre;29;33;25;8.6mm;5.6
30.Noviembre;29;33;25;7.9mm;5.3
1.Diciembre;29;34;24;10.0mm;5.5
2.Diciembre;28;34;23;10.2mm;5.8
3.Diciembre;28;34;22;7.7mm;5.5
4.Diciembre;28;33;23;8.1mm;5.8
5.Diciembre;28;34;23;9.0mm;5.9
6.Diciembre;28;33;23;7.9mm;5.9
7.Diciembre;29;34;24;7.1mm;5.8
8.Diciembre;29;33;24;6.4mm;5.6
9.Diciembre;29;33;24;6.4mm;5.7
10.Diciembre;29;34;25;7.6mm;6.6
11.Diciembre;29;34;25;7.6mm;6.6
12.Diciembre;29;34;25;7.2mm;5.6
13.Diciembre;28;32;24;7.6mm;5.8
14.Diciembre;28;33;24;6.9mm;5.5
15.Diciembre;28;33;25;7.6mm;5.7
16.Diciembre;28;33;25;7.4mm;6
17.Diciembre;28;32;24;7.1mm;5.8
18.Diciembre;28;32;25;6.7mm;5.5
19.Diciembre;28;31;25;6.9mm;5.8
20.Diciembre;28;32;25;5.8mm;5.8
21.Diciembre;29;33;25;4.8mm;6.1
22.Diciembre;29;33;25;4.8mm;6.1
23.Diciembre;28;33;24;4.7mm;6.4
24.Diciembre;28;34;24;5.9mm;6.8
25.Diciembre;28;33;24;5.7mm;6.4
26.Diciembre;28;34;25;5.1mm;6.4
27.Diciembre;28;33;24;5.7mm;6.4
28.Diciembre;29;32;24;4.8mm;6.9
29.Diciembre;29;32;26;5.0mm;6.9
30.Diciembre;29;34;25;2.9mm;6.7
31.Diciembre;29;33;25;3.7mm;6.4
